ObjID,CvtName,CvtAliasOf,Producer(Y/N),SysNamePhrase,SysDescription,SysSignalSource,SysUnitsString,SysDataType,SysRangeLSB,SysDAL,Related JIRA #s,Origin,CvtDataType,Author Notes
1383,cmioSelectedGSW,,,GPS Selected Status Word,GPS Selected Status Word value based on smallest HIL.,CIO, -,Real,NA,Hazardous (B),,RTCA DO-181(),High-precision Float,
1384,cmioSelectedGSWSatVis,,,GPS Selected MSB of Satellites Visible,GPS Selected MSB of Satellites Visible value based on smallest HIL.,CIO, -,Bool,NA,Hazardous (B),,RTCA DO-181(),Boolean,
1385,cmioSelectedGSWDABCFMSS,,,GPS Selected DADC/FMS Source,GPS Selected DADC/FMS Source value based on smallest HIL.,CIO, -,Bool,NA,Hazardous (B),,RTCA DO-181(),Boolean,
1386,cmioSelectedGSWDABCFMSPS,,,GPS Selected DADC/FMS,GPS Selected DADC/FMS value based on smallest HIL.,CIO, -,Bool,NA,Hazardous (B),,RTCA DO-181(),Boolean,
1387,cmioSelectedGSWIRSFMSS,,,GPS Selected IRS/FMS,GPS Selected IRS/FMS value based on smallest HIL.,CIO, -,Bool,NA,Hazardous (B),,RTCA DO-181(),Boolean,
1388,cmioSelectedGSWIRSFMSPS,,,GPS Selected IRS/FMS Source,GPS Selected IRS/FMS Source value based on smallest HIL,CIO, -,Bool,NA,Hazardous (B),,RTCA DO-181(),Boolean,
1389,cmioSelectedGSWNumSatVis,,,"GPS Selected Number of Satellites Visible
",GPS Selected Number of Satellites Visible value based on smallest HIL.,CIO, -,Int,NA,Hazardous (B),,RTCA DO-181(),Integer,
1390,cmioSelectedGSWNumSatPos,,,GPS Selected Number of Satellites in Position,GPS Selected Number of Satellites in Position value based on smallest HIL.,CIO, -,Int,NA,Hazardous (B),,RTCA DO-181(),Integer,
1391,cmioSelectedGSWOpMode,,,GPS Selected GNSS Sensor Operational Mode,GPS Selected GNSS Sensor Operational Mode value based on smallest HIL.,CIO, -,Int,NA,Hazardous (B),,RTCA DO-181(),Integer,
1392,cmioSelectedGPSTime,,,GPS Selected Time,GPS Selected Time value based on smallest HIL.,CIO, -,Real,1,Hazardous (B),,RTCA DO-181(),High-precision Float,
1393,cmioSelectedGAlt,,,GPS Selected Altitude,GPS Selected Altitude value based on smallest HIL.,CIO,ft,Real,0.125,Hazardous (B),,RTCA DO-181(),High-precision Float,
1394,cmioSelectedGPSTrueTrackAng,,Yes,GPS Selected True Track Angle,GPS Selected True Track Angle  value based on smallest HIL.,CIO,deg,Real,0.00549,Hazardous (B),,RTCA DO-181(),High-precision Float,
2034,cmioSelectedGPSTrueTrackAng,,No,True Track Angle (xpdr),,,,,,Hazardous (B),,,High-precision Float,
1395,cmioSelectedGPSGroundSpd,,Yes,GPS Selected Ground Speed,GPS Selected Ground Speed value based on the smallest HIL.,CIO,kts,Real,0.125,Hazardous (B),,RTCA DO-181(),High-precision Float,
2035,cmioSelectedGPSGroundSpd,,No,Ground Speed (xpdr),,,,,,Hazardous (B),,,High-precision Float,
1396,cmioSelectedGLatFin,,,GPS Selected Latitude Fine,GPS Selected Latitude Fine value based on the smallest HIL.,CIO,deg,Real,8.38E-08,Hazardous (B),,RTCA DO-181(),High-precision Float,
1397,cmioSelectedGLngFin,,,GPS Selected Longitude Fine,GPS Selected Longitude Fine value based on the smallest HIL.,CIO,deg,Real,8.38E-08,Hazardous (B),,RTCA DO-181(),High-precision Float,
1398,cmioSelectedGHIL,,Yes,GPS Selected Horizontal Integrity Limit,GPS Selected Horizontal Integrity Limit value based on the smallest HIL.,CIO,nM,Real,0.00012207,Hazardous (B),,RTCA DO-181(),High-precision Float,
2036,cmioSelectedGHIL,,No,Horizontal Integrity Limit / HIL (xpdr),,,,,,Hazardous (B),,,High-precision Float,
1399,cmioSelectedRAIMNISF1,,Yes,GPS Selected Horizontal Integrity Limit RAIM/NISF,GPS Selected Horizontal Integrity Limit RAIM/NISF value based on the smallest HIL.,CIO, -,Bool,NA,Hazardous (B),,RTCA DO-181(),Boolean,
2037,cmioSelectedRAIMNISF1,,No,Fault Detection and Exlcusion /Satellite Failure Detection (xpdr),,,,,,Hazardous (B),,,High-precision Float,
1400,cmioSelectedGVFOM,,Yes,GPS Selected Vertical Figure of Merit,GPS Selected Vertical Figure of Merit value based on the smallest HIL.,CIO,ft,Real,0.125,Hazardous (B),,RTCA DO-181(),High-precision Float,
2038,cmioSelectedGVFOM,,No,Vertical Figure of Merit (xpdr),,,,,,Hazardous (B),,,High-precision Float,
1401,cmioSelectedGVertVel,,Yes,GPS Selected Vertical Velocity,GPS Selected Vertical Velocity value based on the smallest HIL.,CIO,ft/min,Real,1,Hazardous (B),,RTCA DO-181(),High-precision Float,
2039,cmioSelectedGVertVel,,No,GNSS/GPS Vertical Velocity (xpdr),,,,,,Hazardous (B),,,High-precision Float,
1402,cmioSelectedGNSVel,,Yes,GPS Selected NS Velocity,GPS Selected NS Velocity value based on the smallest HIL.,CIO,kts,Real,0.015625,Hazardous (B),,RTCA DO-181(),High-precision Float,
2040,cmioSelectedGNSVel,,No,NS Velocity (xpdr),,,,,,Hazardous (B),,,High-precision Float,
1403,cmioSelectedGPSEWVel,,Yes,GPS Selected EW Velocity,GPS Selected EW Velocity value based on the smallest HIL.,CIO,kts,Real,0.015625,Hazardous (B),,RTCA DO-181(),High-precision Float,
2041,cmioSelectedGPSEWVe,,No,EW Velocity (xpdr),,,,,,Hazardous (B),,,High-precision Float,
1404,cmioSelectedGHFOM,,Yes,GPS Selected Horizontal Figure of Merit,GPS Selected Horizontal Figure of Merit value based on the smallest HIL.,CIO,nM,Real,0.00006104,Hazardous (B),,RTCA DO-181(),High-precision Float,
2042,cmioSelectedGHFOM,,No,Horizontal Figure of Merit / HFOM (xpdr),,,,,,Hazardous (B),,,High-precision Float,
1405,cmioSelectedGHAEAlt,,Yes,GPS Selected HAE Altitude,GPS Selected HAE Altitude value based on the smallest HIL.,CIO,ft,Real,0.125,Hazardous (B),,RTCA DO-181(),High-precision Float,
2043,cmioSelectedGHAEAlt,,No,Height Above Ellipsoid / Altitude-HAE (xpdr),,,,,,Hazardous (B),,,High-precision Float,
1406,cmioSelectedGHVFOM,,Yes,GPS Selected Horizontal Velocity Figure of Merit,GPS Selected Horizontal Velocity Figure of Merit value based on the smallest HIL.,CIO,kts,Real,0.125,Hazardous (B),,RTCA DO-181(),High-precision Float,
2044,cmioSelectedGHVFOM,,No,Horizontal Velocity Figure of Merit / HVFOM (xpdr),,,,,,Hazardous (B),,,High-precision Float,
1407,cmioSelectedGPSDate,,,GPS Selected Date,GPS Selected Date value based on the smallest HIL.,CIO, -,Real,NA,Hazardous (B),,RTCA DO-181(),High-precision Float,
1408,cmioSelectedGTimeFine,,,GPS Selected UTC Fine,GPS Selected UTC Fine value based on the smallest HIL.,CIO, -,Real,0.000000954,Hazardous (B),,RTCA DO-181(),High-precision Float,
1409,cmioSelectedGTimeFineFr1,,,GPS Selected UTC Fine Fraction,GPS Selected UTC Fine Fraction value based on the smallest HIL.,CIO, -,Real,9.31E-10,Hazardous (B),,RTCA DO-181(),High-precision Float,
1410,cmioSelectedGLatAndFin,,Yes,GPS Selected Latitude and Latitude Fine,GPS Selected Latitude and Latitude Fine  value based on the smallest HIL.,CIO,deg,Real,NA,Hazardous (B),,RTCA DO-181(),High-precision Float,
2045,cmioSelectedGLatAndFin,,No,Present Position Latitude (xpdr),,,,,,Hazardous (B),,,High-precision Float,
1411,cmioSelectedGLngAndFin,,Yes,GPS Selected Longitude and Longitude Fine,GPS Selected Longitude and Longitude Fine  value based on the smallest HIL.,CIO,deg,Real,NA,Hazardous (B),,RTCA DO-181(),High-precision Float,
2046,cmioSelectedGLngAndFin,,No,Present Position Longitude (xpdr),,,,,,Hazardous (B),,,High-precision Float,
